job_title,company,location,job_summary,post_date,today
Software Engineer,Landtrack.pk (Pvt Ltd),Karachi,Looking for Software engineers that want to pursue a career in Product development. That have a technical background or knows PHP programming language is a plus…,1 day ago,2021-01-25
Software Engineer - Level II,Cyber Internet Services,Karachi,"Advanced proficiency in Python framework (Django) & Django Rest Framework. Experience creating front end applications using React.js, CSS and JavaScript.",Just posted,2021-01-25
Industry Presales Engineer,Schneider Electric,Karachi,"Knowledge in AVEVA/Schneider software would be an added advantage. Able to read & understand tendering documents, customers’ specifications requirement and…",2 days ago,2021-01-25
Senior Software Engineer,Sybrid Pvt Ltd,Karachi,Bachelor’s degree in Computer Science or Information Technology. 4 to 7 years of hands on experience. 4 to 7 years of design and/or development experience with …,4 days ago,2021-01-25
Support Engineer (Software),Efrotech Services,Karachi,A leading Software House in Karachi required Software Support Engineer for Karachi Head Office with the following job duties:,12 days ago,2021-01-25
Full Stack Software Engineer,ePAGING Pvt. LTD,Karachi,SaaS software company looking for a seasoned and highly technical full stack software engineers to develop and maintain state of the art software for the…,Today,2021-01-25
Software Quality Assurance Engineer,Hroc,Karachi,"Proven work experience in software development. Proven work experience in software quality assurance. Strong knowledge of software QA methodologies, tools and…",4 days ago,2021-01-25
Software Quality Assurance Engineer,Learning Pitch,Karachi,We are looking for an experienced and ambitious Software Quality Assurance Engineer to join our team. Create tests to identify software problems.,3 days ago,2021-01-25
IT Support Engineer,Najmi Bilgrami Pvt Ltd,Karachi,"Desktop Support – Provide expert-level hardware, software, network, and server support for mostly Windows and some Mac devices.",10 days ago,2021-01-25
Mechatronics/Maintenance Engineer (Karachi),3D LifeStyle,Karachi,"Networking, IT Hardware & Software Maintenance. Is the Largest Medical Aesthetic Center. A UK based brand and an International Company affiliated with 3D Lipo.",6 days ago,2021-01-25
SQA Engineer,Fine Solutions,Karachi,Proven work experience in software development. Proven work experience in software quality assurance.. Fine Solutions also known as Finesols is a top-tier…,3 days ago,2021-01-25
Senior Software Engineer,Right Solution,Karachi,"Should have 4+ years of working experience. Strong knowledge of PHP web frameworks such as Symfony, Laravel etc. Understanding of MVC design patterns.",4 days ago,2021-01-25
Software Support Engineer,Folio3,Karachi,"Experience in providing technical / software support. Recognize and analyze problems of high complexity, and communicate findings to customers and product…",28 days ago,2021-01-25
Software Engineer - PHP,Medusa Labs (SMC-PVT) LTD,Karachi,Looking for a Software Engineer PHP responsible for managing back-end services and the interchange of data between the server and the users.,3 days ago,2021-01-25
SQA Engineer,My Inter Academy,Karachi,We are looking for an experienced and ambitious Software Quality Assurance Engineer to join our team. Create tests to identify software problems.,28 days ago,2021-01-25
SQA Engineer,Fine Solutions,Karachi,Proven work experience in software development. Proven work experience in software quality assurance.. Fine Solutions also known as Finesols is a top-tier…,3 days ago,2021-01-25
Senior Software Engineer,Right Solution,Karachi,"Should have 4+ years of working experience. Strong knowledge of PHP web frameworks such as Symfony, Laravel etc. Understanding of MVC design patterns.",4 days ago,2021-01-25
Software Support Engineer,Folio3,Karachi,"Experience in providing technical / software support. Recognize and analyze problems of high complexity, and communicate findings to customers and product…",28 days ago,2021-01-25
Software Engineer - PHP,Medusa Labs (SMC-PVT) LTD,Karachi,Looking for a Software Engineer PHP responsible for managing back-end services and the interchange of data between the server and the users.,3 days ago,2021-01-25
SQA Engineer,My Inter Academy,Karachi,We are looking for an experienced and ambitious Software Quality Assurance Engineer to join our team. Create tests to identify software problems.,28 days ago,2021-01-25
Electrical Engineer,Britlite Engineering Company,Karachi,Required Electrical Engineer with Minimum 1 Year of Experience & having following Skills*. Having Good Command in English.,30+ days ago,2021-01-25
Software Engineer (PHP),Sybrid Pvt Ltd,Karachi,3 - 5 years of experience required. Maintain state of the art understanding of website and mobile platform capabilities. Social distancing guidelines in place.,4 days ago,2021-01-25
Junior QA Engineer,Spekit,Karachi,"Understanding of the complete software development lifecycle processes. Headquartered out of Denver, CO, Spekit is looking for a motivated and talented Junior…",2 days ago,2021-01-25
Network Support Engineer,Jagah Online,Karachi,"In addition, the Network Engineer will participate with the installation, monitoring, maintenance, support, and optimization of all network hardware, software,…",3 days ago,2021-01-25
Senior Software Engineer,Platinum Resources International,Karachi,"8+ years of software development experience. A degree in computer science, software engineering, or a related field.",3 days ago,2021-01-25
Senior Software Engineer,The Tech Resources,,"C# Object Oriented Software Design with middle tiers and backend experience. 5+ years of hands on experience in using ASP.NET Web Forms, Classic ASP, MVC 5.0,…",30+ days ago,2021-01-25
Sr. Software Engineer,Technosys,Karachi,MS/BS Software Engineering from reputable university. Hands-on professional experience using .NET Core. Minimum 3 to 5 yrs.,6 days ago,2021-01-25
Software Quality Assurance Engineer,3Techno Digital,Karachi,"The Senior Software Quality Assurance SQA Engineer is responsible for architect new automated test strategies and frameworks, in addition to creating,…",23 days ago,2021-01-25
Software Engineer – .NET,Astera Software,Karachi,Collaborate with internal teams to produce software design and architecture. Astera Software is an Equal Opportunity Employer and strictly prohibits…,30+ days ago,2021-01-25
System Support Engineer,Caladium Studio,Karachi,"Being a Systems Support Assistant may help perform system backups and recovery and install new software. Systems Support Assistant required for installation,…",18 days ago,2021-01-25
Software Engineer (Java),Workstream Automation (Pvt) Limited,Karachi,"Conduct software analysis, programming, testing, and debugging. Develop, test, implement and maintain application software.",24 days ago,2021-01-25
Senior Software Engineer,Logicsols,Karachi,Looking for a .Net Developer having around 4-5 years of experience. Hands-on professional experience using .NET Core. Minimum 3 to 5 yrs.,23 days ago,2021-01-25
SQA Engineer Intern,TapmadTv,Karachi,"Interested candidates matching the above criteria may send their resume mentioning the position ""SQA Engineer Intern” . Communication with the Team Lead.",26 days ago,2021-01-25
Software Engineer - Backend,MedznMore,Karachi,Our team is seeking highly motivated and talented software engineers who are passionate about creating stellar experiences and building amazing technology at a…,11 days ago,2021-01-25
System Support Engineers,Patel Hospital,Karachi,"01 year as System Support/Help Desk Engineer. Can install MS Windows, Office, Email and other related software.",22 days ago,2021-01-25
IT Support Engineer,Leopards Courier Services,Karachi,"Research & identify solutions to software & hardware issues. Install OS, Identification, & fixing network faults.",30+ days ago,2021-01-25
Software Quality Assurance Engineer ( SQA ),IT Verticals Inc,Karachi,SQA Engineer is an integral part of our team of SQA Engineers responsible for testing the software projects and/or final product.,30+ days ago,2021-01-25
Software Engineer,7nsoft Systems Pvt Ltd,Karachi,"Technical expertise in Software Development Life Cycle entailing requirement analysis, time & cost estimation and high-level design.",30+ days ago,2021-01-25
Software Engineer,Technosys,Karachi,We are looking for experienced Software Engineer who will be responsible for developing day to day development tasks on our product.,30+ days ago,2021-01-25
Business Analyst for software projects,Sky Rocket,Karachi,"BS In Software Engineering/ ERP or relevant studies. A Business Analyst is required for leading our ERP system, a person will be responsible to gather…",14 days ago,2021-01-25
Network & System Engineer,AUA Solutions,Karachi,Software House /BPO / IT and Networks is a MUST: Knowledge of major user software installation and troubleshooting as well as hardware and peripherals.,25 days ago,2021-01-25
Trainee Civil Engineer,Agro Processors & Atmospheric Gases (Pvt.) Ltd. (A...,Karachi,Using a range of computer software for developing detailed designs (MS Project). We are locking for Trainee Civil Engineer-Karachi.,30+ days ago,2021-01-25
Software Engineer,Human Capital Solutions,Karachi,To develop basic understanding of already written Software Programs and modules. Conduct trial runs of programs and software applications to be sure they will…,30+ days ago,2021-01-25
QUALITY ASSURANCE ENGINEER,Access Group,Karachi,The ideal candidate possesses strong software testing skills with a passion for software quality assurance. Responsible for generating technical documents (Test…,3 days ago,2021-01-25
Software Engineer (.Net),360training Com Inc,Karachi,"360training is seeking a Software Engineer (.Net) to join our growing team in Karachi, Pakistan. 1-2 years of experience in web and software development.",12 days ago,2021-01-25
Software Development Engineer,DigitalTolk,Karachi,"We, DigitaltTolk, are an organisation and company that works to make an impact. Our purpose is to give a voice to those who don’t speak the local language;",24 days ago,2021-01-25
C# .Net /Software Engineer,7nsoft Systems Pvt Ltd,Karachi,"Technical expertise in Software Development Life Cycle entailing requirement analysis, time & cost estimation and high-level design.",30+ days ago,2021-01-25
Software Engineer – ASP.NET,WaqarTech,Karachi,"We are looking for experienced Software Engineer (ASP.NET) having 2-3 years of core professional experience in Asp.net, C#, MS SQL, Javascript/JQuery and must…",30+ days ago,2021-01-25
Junior and Senior Software Engineers,Afiniti,Karachi,"The available job titles are Analyst Software Engineer, Software Engineer and Senior Software Engineer. These are purely software development positions with no…",30+ days ago,2021-01-25
SQA - Manual & Automation Engineer,Excelsious Ltd,Karachi,"We are looking for a Software Quality Assurance Engineer to join our Karachi office, ideally someone with previous experience in SQA automation as well.",23 days ago,2021-01-25
Software Engineer,Robotics and Dynamic System Lab PNEC,Karachi,"01-02 years of experience with 2D/ 3D Game Designing. Strong knowledge of game programming & architecture. Strong command in game scripting using C, C#.",19 days ago,2021-01-25
Software Engineer/Architect (Core),Afiniti,Karachi,"Proven software engineering experience in C++. You will also set up simulation and performance labs to understand the performance of our pairing software,…",30+ days ago,2021-01-25
Software Engineer - QA,Ibex,Karachi,"Ibex is looking for a Software Engineer - QA, with strong Manual & Automation experience. To execute test cases on cross platform (web / mobile) software…",18 days ago,2021-01-25
.Net Developer,DigiTrends Pvt. Ltd.,Karachi,"Proven experience of minimum experience of 2 years as a Software Developer, Software Engineer or similar role. Verify and deploy programs and systems.",1 day ago,2021-01-25
Associate Data Engineer,Afiniti,Karachi,"""Extract, transform, load"" refers to the practice of loading data into a data warehousing environment in a business. The ideal candidate will have.",30+ days ago,2021-01-25
Software Engineers,Zultec Group,Karachi,1-2 years of experience are required for Software Engineer. He must be Computer Graduate / Masters in Software Engineering from reputable University.,30+ days ago,2021-01-25
Staff Software Engineer II,Careem,Karachi,We are looking for a Staff Software Engineer to join the Careem Payment team: 8 years of experience in Software development.,30+ days ago,2021-01-25
Senior Software Engineer (PHP),Hulhub,Karachi,Write a unit-test code and perform unit-tests on the developed software. Delivers required code and tasks assigned by Team lead.,26 days ago,2021-01-25
Software Engineer - (PHP),AA Logics Pvt Ltd.,Karachi,AALogics Pvt Ltd is looking for fresh graduate technology enthusiasm in its Ecommerce team as Software Engineer-(PHP).,30+ days ago,2021-01-25
Software Engineer-PHP,Job Solutions Pvt. Limited,Karachi,"Integration of user-facing elements developed by front-end developers. Build efficient, testable, and reusable PHP modules.",12 days ago,2021-01-25
Academic Writer - Computer Science,One Click,Karachi,BS/MS in CS and software engineers having project management skills. One Click is currently seeking both fresh and experienced academic writers for the position…,3 days ago,2021-01-25
SOFTWARE QUALITY ASSURANCE ENGINEERS,Euronet Pakistan,Karachi,Euronet is seeking technically knowledgeable Software Quality Assurance Engineers based in Karachi. Proven Quality Assurance experience with Agile Software…,30+ days ago,2021-01-25
Senior Software Engineer [Remote],Veeve,Karachi,5+ years of industry experience as a Software Engineer or a Software developer with experience as a Senior Engineer leading teams in an agile environment.,3 days ago,2021-01-25
SOFTWARE ENGINEER,National Clearing Company of Pakistan,Karachi,"NCCPL is looking for Software Engineer. NATIONAL CLEARING COMPANY OF PAKISTAN LIMITED ""NCCPL"" is a significant institution of Pakistan's Capital market.",30+ days ago,2021-01-25
Quality Assurance Engineer,Liquid Technologies,Karachi,Create tests to identify software problems. Recommend improvements in software to enhance user experience. Motivate the development process for efficiency and…,25 days ago,2021-01-25
Machine Learning Engineer Intern - PK-KAR,Blendtolearn,Karachi,"Proven experience as a Machine Learning Engineer or similar role. Understanding of data structures, data modeling and software architecture.",25 days ago,2021-01-25
Test Engineer,Enterprise64,Karachi,No compromise on Software Quality. Gathering of Business Domain of the ongoing projects. Effective QA which involves both parallel testing and formal testing.,19 days ago,2021-01-25
Software Engineer,Asianet Pakistan,Karachi,"Develop AUTOMATED software to bring efficiency in working and better service of processes. Should have experience in building custom applications, development…",23 days ago,2021-01-25
Software Engineer (PHP),WI-HR Consultants,Karachi,WI HR CONSULTANT requires Software Engineer (PHP) for Leading Auto parts Industry at Karachi Candidate must be BCS and have 3-4 years PHP Developer exp Salary :,30+ days ago,2021-01-25
Construction Manager,Brentwood Pvt. Ltd.,Karachi,Supervise site engineers and all construction project activities. Good knowledge of MS Office and construction/ project management software.,12 days ago,2021-01-25
Technical Research Analyst,Virtual Bay,Karachi,"Need a qualified Technical Research Analyst with proper knowledge of all referencing style, able to manage deadlines and work on short deadlines as well, fluent…",11 days ago,2021-01-25
SQA Engineer,Smart Placement,Karachi,We are looking for a Software Quality Assurance (QA) engineer to develop and execute exploratory and automated tests to ensure product quality.,5 days ago,2021-01-25
SDET - Software Development Engineer in Test,Afiniti,Karachi,Extensive experience leading a Testing / Quality Assurance team - responsible for testing full embedded software stack within a high-volume data driven software…,30+ days ago,2021-01-25
C++ Software Engineer,Afiniti,Karachi,"Afiniti is creating proprietary data analysis, visualization and monitoring software using cutting-edge technologies. The ideal candidate will have.",30+ days ago,2021-01-25
QA Engineer,InertiaSoft Pvt Ltd,Karachi,Knowledge of software test principles and practices. An appreciation of software development across different technologies.,25 days ago,2021-01-25
Project Sales Engineer -cum- AutoCAD Draftsman,KK Power International Pvt Ltd,Karachi,Sales Engineer -cum- AutoCAD Draftsman*. Format to the other CAD Software\*. Assist and coordinate with designers and engineers.,12 days ago,2021-01-25
Technical Support Engineer,Agility,Karachi,"Must have hands on experience on Windows Domain Environment, Cisco Routers, Switches and Good Knowledge of hardware and software;",30+ days ago,2021-01-25
Sr. Software Quality Assurance Engineer,ClinicalPearl,Karachi,Software Quality Assurance (SQA) Engineer for healthcare projects. A US-based software development house in Karachi is looking for Sr.,21 days ago,2021-01-25
Systems Administrator,Access Group,Karachi,Repair and recover from hardware or software failures. Systems Administration/System Engineer with certification in Unix/linux and Microsoft would be a plus.,20 days ago,2021-01-25
Senior Software Engineer,Eurosofttech Pvt Lt,Karachi,"Sql server 2017, Visual studio 2017. Minimum 7 years good work experience required. Responsible for development and maintenance of both current and future based…",23 days ago,2021-01-25
PS Technical Consultant,NCR,Karachi,"Proven experience as a Software Developer, Software Engineer or similar role. Position responsible for software effort scoping, design, implementation, testing,…",2 days ago,2021-01-25
Senior Software Engineer / Technical Lead,Kerlo Research,Karachi,Senior Software Engineer / Technical Lead. We are looking for an experienced Software Engineer / Technical Lead for enhancing and extending our in-house…,30+ days ago,2021-01-25
Software Engineer (MVC.Net - Angular 7) Remote Job,ClinicalPearl,Karachi,A US-based software development house in Karachi is looking for a Senior Software Engineer for healthcare Web Products.,3 days ago,2021-01-25
SQA Engineer,FindMyAdventure,Karachi,"We are looking for a “SQA Engineer (Automation)”. Devise and align test strategy w.r.t software development model Agile/Scrum, CI/CT etc.",20 days ago,2021-01-25
Web Content Specialist,IT Verticals Inc,Karachi,"Partner with software engineers, product managers, business stakeholders, UX designers and other teams to produce and publish compelling content.",11 days ago,2021-01-25
ETL Engineer,Afiniti,Karachi,Afiniti is the world’s leading applied artificial intelligence and advanced analytics provider. Afiniti Enterprise Behavioral Pairing™ uses artificial…,30+ days ago,2021-01-25
Software Developers,Afiniti,Karachi,"The Afiniti Engineering team is creating proprietary data analysis, visualization and monitoring software using cutting-edge technologies, as well as…",30+ days ago,2021-01-25
Node.js Software Engineers,Afiniti,Karachi,3-4 years (or more) of professional experience in Node.js software development. Experience in developing Software Applications in a Linux environment.,30+ days ago,2021-01-25
Software Engineer I,Careem,Karachi,"Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews…",30+ days ago,2021-01-25
AutoCAD Draftsman,KMNR Engineering,Karachi,Experience using AutoCAD drafting software for building systems. Candidates should possess excellent AutoCAD drafting skills and would work under the direct…,30+ days ago,2021-01-25
C++ Software Engineer (Khi),Afiniti,Karachi,"Afiniti is creating proprietary data analysis, visualization and monitoring software using cutting-edge technologies. The ideal candidate will have.",30+ days ago,2021-01-25
Software Engineer (React JS),Codup,Karachi,"Developing user-facing features using React.js, in tandem with other developers in charge of the application’s backend. Learn and understand user interactions.",16 days ago,2021-01-25
SIEM Engineer,Afiniti,Karachi,Afiniti is the world’s leading applied artificial intelligence and advanced analytics provider. Afiniti Enterprise Behavioral Pairing™ uses artificial…,30+ days ago,2021-01-25
Data Scientist / ML Engineer/Tensorflow developer,7nsoft Systems Pvt Ltd,Karachi,"Proven experience as a Machine Learning Engineer or similar role. Understanding of data structures, data modeling and software architecture.",30+ days ago,2021-01-25
Senior SQA & Support Engineer,iTack Solutions,Karachi,A leading Software company is looking for Senior SQA and Support Engineer who has minimum 3 to 4 years experience in Software Testing having strong…,17 days ago,2021-01-25
Full Stack Developer,CQ Technologies,Karachi,"We are looking for a Senior/ Junior Fullstack Software Engineer, who will be responsible for: CQ Technologies is an IT solution business provider.",4 days ago,2021-01-25
Telephony Engineer,Afiniti,Karachi,"Afiniti is creating proprietary data analysis, visualization and monitoring software using cutting-edge technologies. The ideal candidate will have.",30+ days ago,2021-01-25
Senior Software Engineer - JS,Folio3,Karachi,4+ years of experience working as a Software Engineer. Strong experience working with JavaScript. Bachelors degree in CS or related discipline.,28 days ago,2021-01-25
Intern PHP Developer,3DM Solutions,Karachi,We are looking for applicants (Intern PHP / Web developer / Software Engineer) who possess the following: Have been an excellent student / especially those who…,12 days ago,2021-01-25
Software Engineer,Sybrid Pvt Ltd,Karachi,"Bachelor's degree in Computer Science. 1 - 3 years of experience. 1 to 3 years of design and/or development experience with .NET, C#, ASP.NET, Windows Forms,…",23 days ago,2021-01-25
Senior Software Engineer,360factors,Karachi,"Will be involved in the full software development life-cycle in coordination with other engineers, QA, and designers and should be confident and adept in…",30+ days ago,2021-01-25
Software Engineer / Senior Software Engineer,Avanza,Karachi,Software Engineer / Senior Software Engineer Organization: Karachi Bachelors/Masters degree in Computer Science with 3+ years work experience.,30+ days ago,2021-01-25
Senior Software Engineers,Zultec Group,Karachi,3-5 years of experience for Senior Software Engineers. He must be Computer Graduate / Masters in Software Engineering from reputable University.,30+ days ago,2021-01-25
Associate IT,foodpanda Pakistan,Karachi,"Update software antivirus on regular basis. Troubleshoot and repair network, hardware and software components. Do you love food and convenience put together?",30+ days ago,2021-01-25
Software Engineer (Night Shift),7nSoft Systems,Karachi,7+ years of experience with Java/C++/C#/Python/C/Swift. 3+ years hands-on experience with Relational Databases (Oracle/Sybase/Postgres/MSSQL/MySQL).,30+ days ago,2021-01-25
Senior Software Engineer,Astera Software,Karachi,"Astera Software is an Equal Opportunity Employer and strictly prohibits discrimination of any kind. While we value talent, we need to know for sure you’ll be…",30+ days ago,2021-01-25
Senior Software Engineer | Principal Software Engineer [ C++| C# ],Avanza Solutions,Karachi,"Deep understanding of scalable computing systems, software architecture, data structures, and algorithms. Strong proficiency in [ C++| C# ].",30+ days ago,2021-01-25
Software Developer,AI Academy Hong Kong,Karachi,We’re looking for backend and frontend engineers to help us develop software to meet growing demands and support us for our next stage of growth.,30+ days ago,2021-01-25
Full Stack Developer,Veeve,Karachi,"As a Full Stack Engineer, you will: Work in an Agile environment to continuously deliver high-quality software. And participate in technical design discussions.",3 days ago,2021-01-25
AI Firmware Engineer,KeepTruckin,Karachi,Design and develop high performance firmware and software for cutting-edge embedded platforms. You understand how to design and develop modular software…,3 days ago,2021-01-25
Senior Network Engineer,7nsoft Systems Pvt Ltd,Karachi,Experience with software defined networking (SDN/SDWAN) in a Meraki environment. \*\*\*\*Looking for Candidates who can Join immediately\*\*\*\**.,9 days ago,2021-01-25
QUALITY ASSURANCE ENGINEERS,Sapphire Consulting Services,Karachi,Provide support and participate in software staging for re-deployment. The required person should design and write test planning and test cases based on…,30+ days ago,2021-01-25
Senior Network Engineer,Ibex,Karachi,Senior Network Engineer responsible to deliver high availability services and support for enterprise network infrastructure also Engineer will participate with…,30+ days ago,2021-01-25
Compiler Engineer/Developer,7nsoft Systems Pvt Ltd,Karachi,"As a Compiler Engineer on the team, you will be responsible for supporting and contributing to the architecture, design, and implementation of the mLogica trans…",9 days ago,2021-01-25
Dot Net Developer,TELTONIKA PAKISTAN PVT LTD,Karachi,"ASP.Net, MVC, Management Systems Integration, Socket Programming, Windows Services, Web API, SQL, DOT NET, Software Developer/ Engineer.",12 days ago,2021-01-25
Senior Software Engineer/Software Engineer (PHP Laravel /Lumen),Shispare pvt ltd,Karachi,"Software testing (PHPUnit, PHPSpec, Behat). Develop, record and maintain cutting edge web-based PHP applications on portal plus premium service platforms.",2 days ago,2021-01-25
API Integration Engineer,Afiniti,Karachi,"Technical background of software development, QA or managing software application for 1-2 years or more. Afiniti Enterprise Behavioral Pairing™ uses artificial…",30+ days ago,2021-01-25
Python Big Data Engineer II,Afiniti,Karachi,Mentors other junior engineers and leads by example. 3+ years experience in software engineering and or data engineering. The ideal candidate will have.,30+ days ago,2021-01-25
CAD Design Engineer,MuxLife Pakistan,Karachi,"Design, develop and engineer high-quality models using 3D CAD tools. Work through software limitations and deploy solutions in the design and development of CAD…",28 days ago,2021-01-25
Principal Software Engineer [ Java Full Stack ],Avanza Solutions,Karachi,Should have at least 6 years of experience. Solid Experience of Full Stack Development Lifecycle. Must have experience over working on complex systems and…,27 days ago,2021-01-25
Assistant Manager – Project Management,Human Capital Solutions,Karachi,"Knowledge of project-related software like MS Project, etc. Responsible for developing, planning, execution and monitoring of new projects in line with the…",30+ days ago,2021-01-25
JavaScript Engineer,3Techno Digital,Karachi,"Analyzing code, requirements, system risks, and software reliability. We are looking for a passionate JavaScript Developer to be responsible for all front-end…",12 days ago,2021-01-25
Information Security Engineer,Afiniti,Karachi,"Hands on experience in security systems, including firewalls, intrusion detection systems, anti-virus software, patch management, authentication systems, log…",30+ days ago,2021-01-25
